日期,归一化
2006/8/18,0.868309535
2006/8/19,0.833492438
2006/8/20,0.810075465
2006/8/21,0.86333329
2006/8/22,0.841952978
2006/8/23,0.843844689
2006/8/24,0.848808009
2006/8/25,0.868247679
2006/8/26,0.824862022
2006/8/27,0.770555401
2006/8/28,0.851219503
2006/8/29,0.857635997
2006/8/30,0.839136183
2006/8/31,0.832120508
2007/6/1,0.87172828
2007/6/2,0.815413619
2007/6/3,0.789973835
2007/6/4,0.86228357
2007/6/5,0.87319715
2007/6/6,0.858832512
2007/6/7,0.882258717
2007/6/8,0.888497949
2007/6/9,0.822037842
2007/6/10,0.808123743
2007/6/11,0.824386555
2007/6/12,0.911456073
2007/6/13,0.934050442
2007/6/14,0.929721386
2007/6/15,0.940408772
2007/6/16,0.868352004
2007/6/17,0.806841368
2007/6/18,0.895854298
2007/6/19,0.946085754
2007/6/20,0.94135509
2007/6/21,0.957134126
2007/6/22,0.981760538
2007/6/23,0.919921229
2007/6/24,0.845500976
2007/6/25,0.892778997
2007/6/26,0.928139881
2007/6/27,0.947216719
2007/6/28,0.94029983
2007/6/29,0.937520888
2007/6/30,0.898477214
2007/7/1,0.850618476
2007/7/2,0.904816156
2007/7/3,0.873247928
2007/7/4,0.86855604
